wavelength,deepred,farred,red,white
694,6e-4,0.1711,0,0.0163
695,6e-4,0.1846,0,0.0156
696,5e-4,0.1991,0,0.0149
697,4e-4,0.2146,0,0.0143
698,4e-4,0.231,0,0.0137
699,4e-4,0.2484,0,0.013
700,3e-4,0.2666,0,0.0125
701,2e-4,0.2859,0,0.012
702,2e-4,0.30620000000000003,0,0.0116
703,1e-4,0.3273,0,0.0112
704,0,0.3492,0,0.0108
705,0,0.372,0,0.0104
706,0,0.3957,0,0.01
707,0,0.4201,0,0.0096
708,0,0.445,0,0.0093
709,0,0.4705,0,0.0091
710,0,0.4971,0,0.0088
711,0,0.525,0,0.0085
712,0,0.5536,0,0.0081
713,0,0.5833,0,0.0077
714,0,0.6144,0,0.0073
715,0,0.6484,0,0.0069
716,0,0.6845,0,0.0065
717,0,0.7206,0,0.0061
718,0,0.756,0,0.0058
719,0,0.795,0,0.0056
720,0,0.8341,0,0.0054
721,0,0.868,0,0.0052
722,0,0.9005,0,0.0051
723,0,0.9341,0,0.005
724,0,0.9618,0,0.0049
725,0,0.9783,0,0.0047
726,0,0.9921,0,0.0044
727,0,1,0,0.0041
728,0,0.9949,0,0.0038
729,1e-4,0.9738,0,0.0035
730,1e-4,0.9415,0,0.0032
731,2e-4,0.8998,0,0.0029
732,2e-4,0.8487,0,0.0027
733,2e-4,0.777,0,0.0025
734,2e-4,0.6943,0,0.0024
735,2e-4,0.615,0,0.0023
736,2e-4,0.5399,0,0.0023
737,1e-4,0.455,0,0.0023
738,1e-4,0.3734,0,0.0023
739,0,0.3079,0,0.0022
740,0,0.2521,0,0.0021
741,0,0.2022,0,0.0019
742,0,0.1595,0,0.0018
743,0,0.1267,0,0.0016
744,0,0.1044,0,0.0014
745,0,0.0871,0,0.0012
746,0,0.0698,0,0.0011
747,0,0.0575,0,0.0011
748,0,0.0497,0,0.0011
749,0,0.0425,0,0.0011
750,0,0.0349,0,0.0011
